番号,山名,別名,山頂名,読み,都道府県,標高,所在地,地図,緯度,経度,三角点名等,備考
248,高陽山,"","",こうようざん,"福島県, 新潟県",1126,飯豊山地,https://maps.gsi.go.jp/#15/37.72916666666667/139.6497222222222,37°43′45″,139°38′59″,高陽山,Ｈ26三角点標高改訂
249,飯森山,"","",いいもりさん,"山形県, 福島県",1595,飯豊山地,https://maps.gsi.go.jp/#15/37.81388888888888/139.92555555555555,37°48′50″,139°55′32″,飯森山,Ｈ26三角点標高改訂
250,霊山,"","",りょうぜん,福島県,825,阿武隈高地,https://maps.gsi.go.jp/#15/37.76888888888889/140.6875,37°46′08″,140°41′15″,標高点,標高は東ノ物見を示す
251,日山,天王山,"",ひやま（てんのうざん）,福島県,1057,阿武隈高地,https://maps.gsi.go.jp/#15/37.543055555555554/140.6836111111111,37°32′35″,140°41′01″,標高点,""
252,鎌倉岳,"","",かまくらだけ,福島県,967,阿武隈高地,https://maps.gsi.go.jp/#15/37.466944444444444/140.6888888888889,37°28′01″,140°41′20″,鎌倉岳,""
253,大滝根山,"","",おおたきねやま,福島県,1192,阿武隈高地,https://maps.gsi.go.jp/#15/37.355000000000004/140.70166666666665,37°21′18″,140°42′06″,大滝根山,""
254,屹兎屋山,"","",きっとやさん,福島県,875,阿武隈高地,https://maps.gsi.go.jp/#15/37.21055555555556/140.8675,37°12′38″,140°52′03″,屹兎屋山,""
255,蓬田岳,"","",よもぎだだけ,福島県,952,阿武隈高地,https://maps.gsi.go.jp/#15/37.26583333333333/140.53472222222223,37°15′57″,140°32′05″,蓬田岳,""
256,三大明神山,"","",さんだいみょうじんやま,福島県,706,阿武隈高地,https://maps.gsi.go.jp/#15/37.051944444444445/140.7625,37°03′07″,140°45′45″,標高点,""
257,竪破山,"","",たつわれさん,茨城県,658,阿武隈高地,https://maps.gsi.go.jp/#15/36.71083333333333/140.56222222222223,36°42′39″,140°33′44″,立割山,たてわれさん
258,男体山,"","",なんたいさん,茨城県,654,阿武隈高地,https://maps.gsi.go.jp/#15/36.72416666666667/140.41972222222222,36°43′27″,140°25′11″,頃藤,""
259,高鈴山,"","",たかすずやま,茨城県,623,阿武隈高地,https://maps.gsi.go.jp/#15/36.62111111111111/140.58777777777777,36°37′16″,140°35′16″,高鈴山,""
260,八溝山,"","",やみぞさん,"茨城県, 福島県",1022,八溝山・筑波山,https://maps.gsi.go.jp/#15/36.930277777777775/140.27305555555557,36°55′49″,140°16′23″,八溝山,""
261,吾国山,"","",わがくにさん,茨城県,518,八溝山・筑波山,https://maps.gsi.go.jp/#15/36.32194444444445/140.2011111111111,36°19′19″,140°12′04″,吾国山,""
262,加波山,"","",かばさん,茨城県,709,八溝山・筑波山,https://maps.gsi.go.jp/#15/36.29888888888889/140.1436111111111,36°17′56″,140°08′37″,加波,""
263,筑波山,"","",つくばさん,茨城県,877,八溝山・筑波山,https://maps.gsi.go.jp/#15/36.22527777777778/140.10666666666665,36°13′31″,140°06′24″,測定点,""
264,三本槍岳,"","",さんぼんやりだけ,"福島県, 栃木県",1917,那須・日光,https://maps.gsi.go.jp/#15/37.150277777777774/139.96138888888888,37°09′01″,139°57′41″,三倉山,""
265,那須岳,"",茶臼岳,なすだけ<ちゃうすだけ>,栃木県,1915,那須・日光,https://maps.gsi.go.jp/#15/37.124722222222225/139.96305555555554,37°07′29″,139°57′47″,標高点,""
266,男鹿岳,"","",おがたけ,"福島県, 栃木県",1777,那須・日光,https://maps.gsi.go.jp/#15/37.08527777777778/139.82194444444445,37°05′07″,139°49′19″,男鹿岳,おじかだけ
267,大佐飛山,"","",おおさびやま,栃木県,1908,那須・日光,https://maps.gsi.go.jp/#15/37.06361111111111/139.84444444444446,37°03′49″,139°50′40″,大蛇尾山,""
268,高原山,"",釈迦ヶ岳,たかはらやま<しゃかがだけ>,栃木県,1795,那須・日光,https://maps.gsi.go.jp/#15/36.9/139.77666666666667,36°54′00″,139°46′36″,高原山,""
269,女峰山,"","",にょほうさん,栃木県,2483,那須・日光,https://maps.gsi.go.jp/#15/36.811388888888885/139.5363888888889,36°48′41″,139°32′11″,標高点,""
270,女峰山,"",大真名子山,にょほうさん<おおまなごさん>,栃木県,2376,那須・日光,https://maps.gsi.go.jp/#15/36.79527777777778/139.50722222222223,36°47′43″,139°30′26″,大真子,Ｈ26三角点標高改訂
271,女峰山,"",小真名子山,にょほうさん<こまなごさん>,栃木県,2323,那須・日光,https://maps.gsi.go.jp/#15/36.80722222222222/139.51083333333332,36°48′26″,139°30′39″,小真子,""
272,太郎山,"","",たろうさん,栃木県,2368,那須・日光,https://maps.gsi.go.jp/#15/36.81777777777778/139.48277777777778,36°49′04″,139°28′58″,太郎山,Ｈ26三角点標高改訂
273,男体山,"","",なんたいさん,栃木県,2486,那須・日光,https://maps.gsi.go.jp/#15/36.765/139.4908333333333,36°45′54″,139°29′27″,測定点,Ｈ15現地計測による標高改訂
274,白根山,"","",しらねさん,"群馬県, 栃木県",2578,那須・日光,https://maps.gsi.go.jp/#15/36.79861111111111/139.37583333333333,36°47′55″,139°22′33″,標高点,日光白根山（にっこうしらねさん）
275,皇海山,"","",すかいさん,"栃木県, 群馬県",2144,那須・日光,https://maps.gsi.go.jp/#15/36.69/139.33694444444444,36°41′24″,139°20′13″,皇海山,Ｈ26三角点標高改訂
276,庚申山,"","",こうしんざん,栃木県,1892,那須・日光,https://maps.gsi.go.jp/#15/36.67305555555555/139.36111111111111,36°40′23″,139°21′40″,標高点,""
277,袈裟丸山,"","",けさまるやま,"栃木県, 群馬県",1961,那須・日光,https://maps.gsi.go.jp/#15/36.64944444444444/139.32722222222222,36°38′58″,139°19′38″,標高点,""
278,横根山,"","",よこねやま,栃木県,1373,那須・日光,https://maps.gsi.go.jp/#15/36.61972222222222/139.52222222222224,36°37′11″,139°31′20″,横根,""
279,赤城山,"",黒檜山,あかぎさん<くろびさん>,群馬県,1828,那須・日光,https://maps.gsi.go.jp/#15/36.56027777777778/139.19333333333333,36°33′37″,139°11′36″,黒檜山,赤城山（あかぎやま）
280,赤城山,"",地蔵岳,あかぎさん<じぞうだけ>,群馬県,1674,那須・日光,https://maps.gsi.go.jp/#15/36.54111111111111/139.1772222222222,36°32′28″,139°10′38″,赤城山,""
281,博士山,"","",はかせやま,福島県,1482,南会津・尾瀬,https://maps.gsi.go.jp/#15/37.363055555555555/139.7147222222222,37°21′47″,139°42′53″,博士山,""
282,小野岳,"","",おのだけ,福島県,1383,南会津・尾瀬,https://maps.gsi.go.jp/#15/37.325833333333335/139.88666666666666,37°19′33″,139°53′12″,小野岳,Ｈ26三角点標高改訂
283,七ヶ岳,"",一番岳,ななつがたけ<いちばんだけ>,福島県,1636,南会津・尾瀬,https://maps.gsi.go.jp/#15/37.12416666666667/139.6575,37°07′27″,139°39′27″,七ツケ岳,""
284,荒海山,太郎岳,"",あらかいざん（たろうだけ）,"福島県, 栃木県",1581,南会津・尾瀬,https://maps.gsi.go.jp/#15/37.03611111111111/139.6436111111111,37°02′10″,139°38′37″,標高点,""
285,田代山,"","",たしろやま,福島県,1971,南会津・尾瀬,https://maps.gsi.go.jp/#15/36.974444444444444/139.47833333333332,36°58′28″,139°28′42″,標高点,""
286,帝釈山,"","",たいしゃくざん,"福島県, 栃木県",2060,南会津・尾瀬,https://maps.gsi.go.jp/#15/36.969722222222224/139.45999999999998,36°58′11″,139°27′36″,帝釈山,""
287,黒岩山,"","",くろいわやま,"栃木県, 群馬県",2163,南会津・尾瀬,https://maps.gsi.go.jp/#15/36.90888888888889/139.3936111111111,36°54′32″,139°23′37″,黒岩山,""
288,鬼怒沼山,"","",きぬぬまやま,"栃木県, 群馬県",2141,南会津・尾瀬,https://maps.gsi.go.jp/#15/36.882777777777775/139.37166666666667,36°52′58″,139°22′18″,鬼怒沼,""
289,朝日岳,"","",あさひだけ,福島県,1624,南会津・尾瀬,https://maps.gsi.go.jp/#15/37.221111111111114/139.33972222222224,37°13′16″,139°20′23″,朝日岳,会津朝日岳（あいづあさひだけ）
290,丸山岳,"","",まるやまだけ,福島県,1820,南会津・尾瀬,https://maps.gsi.go.jp/#15/37.172777777777775/139.33472222222224,37°10′22″,139°20′05″,白戸山,""
291,駒ヶ岳,"","",こまがたけ,福島県,2133,南会津・尾瀬,https://maps.gsi.go.jp/#15/37.0475/139.3536111111111,37°02′51″,139°21′13″,測定点,会津駒ヶ岳（あいづこまがたけ）
292,平ヶ岳,"","",ひらがたけ,"群馬県, 新潟県",2141,南会津・尾瀬,https://maps.gsi.go.jp/#15/37.00194444444445/139.17083333333332,37°00′07″,139°10′15″,標高点,""
293,景鶴山,"","",けいづるやま,"群馬県, 新潟県",2004,南会津・尾瀬,https://maps.gsi.go.jp/#15/36.956944444444446/139.21055555555554,36°57′25″,139°12′38″,標高点,""
294,燧ヶ岳,"",柴安嵓,ひうちがたけ<しばやすぐら>,福島県,2356,南会津・尾瀬,https://maps.gsi.go.jp/#15/36.955000000000005/139.28527777777776,36°57′18″,139°17′07″,測定点,""
295,至仏山,"","",しぶつさん,群馬県,2228,南会津・尾瀬,https://maps.gsi.go.jp/#15/36.90361111111111/139.17333333333332,36°54′13″,139°10′24″,至仏山,""
296,武尊山,"","",ほたかやま,群馬県,2158,南会津・尾瀬,https://maps.gsi.go.jp/#15/36.805277777777775/139.13250000000002,36°48′19″,139°07′57″,武尊山,沖武尊山（おきほたかやま）
297,御神楽岳,"","",みかぐらだけ,新潟県,1386,越後山脈,https://maps.gsi.go.jp/#15/37.52194444444444/139.42583333333332,37°31′19″,139°25′33″,御神楽岳,""
298,粟ヶ岳,"","",あわがたけ,新潟県,1293,越後山脈,https://maps.gsi.go.jp/#15/37.555277777777775/139.18861111111113,37°33′19″,139°11′19″,粟ケ嶽,""
299,矢筈岳,"","",やはずだけ,新潟県,1257,越後山脈,https://maps.gsi.go.jp/#15/37.5125/139.26611111111112,37°30′45″,139°15′58″,矢筈岳,""
300,守門岳,"","",すもんだけ,新潟県,1537,越後山脈,https://maps.gsi.go.jp/#15/37.397777777777776/139.13666666666666,37°23′52″,139°08′12″,守門岳,""
301,浅草岳,"","",あさくさだけ,"新潟県, 福島県",1585,越後山脈,https://maps.gsi.go.jp/#15/37.343611111111116/139.2336111111111,37°20′37″,139°14′01″,浅草岳,""
302,毛猛山,"","",けもうやま,"福島県, 新潟県",1517,越後山脈,https://maps.gsi.go.jp/#15/37.25666666666667/139.17527777777778,37°15′24″,139°10′31″,岩沢山,""
303,未丈ヶ岳,"","",みじょうがたけ,新潟県,1553,越後山脈,https://maps.gsi.go.jp/#15/37.18333333333333/139.18944444444446,37°11′00″,139°11′22″,大鳥岳,山名変更：Ｈ19関係自治体からの申請による
304,駒ヶ岳,"","",こまがたけ,新潟県,2003,越後山脈,https://maps.gsi.go.jp/#15/37.12361111111111/139.07527777777779,37°07′25″,139°04′31″,越駒ケ岳,越後駒ヶ岳（えちごこまがたけ）　魚沼駒ヶ岳（うおぬまこまがたけ）
305,八海山,"",入道岳,はっかいさん<にゅうどうだけ>,新潟県,1778,越後山脈,https://maps.gsi.go.jp/#15/37.10388888888889/139.02472222222224,37°06′14″,139°01′29″,標高点,""
306,中ノ岳,"","",なかのだけ,新潟県,2085,越後山脈,https://maps.gsi.go.jp/#15/37.08527777777778/139.0775,37°05′07″,139°04′39″,中ノ岳,""
307,荒沢岳,"","",あらさわだけ,新潟県,1969,越後山脈,https://maps.gsi.go.jp/#15/37.10055555555556/139.14805555555554,37°06′02″,139°08′53″,荒沢岳,""
308,下津川山,"","",しもつごうやま,"新潟県, 群馬県",1928,越後山脈,https://maps.gsi.go.jp/#15/36.99472222222222/139.05,36°59′41″,139°03′00″,下津川山,""
309,巻機山,"","",まきはたやま,"群馬県, 新潟県",1967,越後山脈,https://maps.gsi.go.jp/#15/36.978611111111114/138.96416666666664,36°58′43″,138°57′51″,標高点,""
310,大源太山,"","",だいげんたさん,新潟県,1598,越後山脈,https://maps.gsi.go.jp/#15/36.902499999999996/138.92694444444444,36°54′09″,138°55′37″,標高点,""
311,朝日岳,"","",あさひだけ,群馬県,1945,越後山脈,https://maps.gsi.go.jp/#15/36.88055555555555/138.9725,36°52′50″,138°58′21″,笠ケ岳,""
312,朝日岳,"",白毛門,あさひだけ<しらがもん>,群馬県,1720,越後山脈,https://maps.gsi.go.jp/#15/36.859722222222224/138.96722222222223,36°51′35″,138°58′02″,標高点,""
313,谷川岳,"",茂倉岳,たにがわだけ<しげくらだけ>,"群馬県, 新潟県",1978,越後山脈,https://maps.gsi.go.jp/#15/36.84916666666667/138.91666666666666,36°50′57″,138°55′00″,標高点,""
314,谷川岳,"",一ノ倉岳,たにがわだけ<いちのくらだけ>,"群馬県, 新潟県",1974,越後山脈,https://maps.gsi.go.jp/#15/36.84722222222222/138.92444444444445,36°50′50″,138°55′28″,谷川富士,""
315,谷川岳,"",オキノ耳,たにがわだけ<おきのみみ>,"群馬県, 新潟県",1977,越後山脈,https://maps.gsi.go.jp/#15/36.83722222222222/138.92999999999998,36°50′14″,138°55′48″,標高点,""
316,万太郎山,"","",まんたろうさん,"群馬県, 新潟県",1954,越後山脈,https://maps.gsi.go.jp/#15/36.82416666666667/138.87916666666666,36°49′27″,138°52′45″,万太郎,""
317,仙ノ倉山,"","",せんのくらやま,"群馬県, 新潟県",2026,越後山脈,https://maps.gsi.go.jp/#15/36.8175/138.83944444444447,36°49′03″,138°50′22″,千倉山,""
318,吾妻耶山,"","",あづまやさん,群馬県,1341,越後山脈,https://maps.gsi.go.jp/#15/36.74638888888889/138.9272222222222,36°44′47″,138°55′38″,標高点,""
319,苗場山,"","",なえばさん,"新潟県, 長野県",2145,苗場山・白根山・浅間山,https://maps.gsi.go.jp/#15/36.84583333333334/138.6902777777778,36°50′45″,138°41′25″,苗場山,""
320,佐武流山,"","",さぶりゅうやま,"新潟県, 長野県",2192,苗場山・白根山・浅間山,https://maps.gsi.go.jp/#15/36.77222222222222/138.67055555555555,36°46′20″,138°40′14″,佐武流,""
321,白砂山,"","",しらすなやま,"群馬県, 長野県",2140,苗場山・白根山・浅間山,https://maps.gsi.go.jp/#15/36.738055555555555/138.69361111111112,36°44′17″,138°41′37″,西川浦,""
322,鳥甲山,"","",とりかぶとやま,長野県,2038,苗場山・白根山・浅間山,https://maps.gsi.go.jp/#15/36.83916666666667/138.5838888888889,36°50′21″,138°35′02″,鳥甲,""
323,高社山,高井富士,"",こうしゃさん（たかいふじ）,長野県,1351,苗場山・白根山・浅間山,https://maps.gsi.go.jp/#15/36.799166666666665/138.4038888888889,36°47′57″,138°24′14″,高社山,たかやしろやま
324,岩菅山,"",裏岩菅山,いわすげやま<うらいわすげやま>,長野県,2341,苗場山・白根山・浅間山,https://maps.gsi.go.jp/#15/36.75277777777778/138.56805555555556,36°45′10″,138°34′05″,標高点,いわすごやま＜うらいわすごやま＞
325,岩菅山,"","",いわすげやま,長野県,2295,苗場山・白根山・浅間山,https://maps.gsi.go.jp/#15/36.74194444444444/138.55944444444447,36°44′31″,138°33′34″,岩菅山,いわすごやま
326,志賀山,"","",しがやま,長野県,2037,苗場山・白根山・浅間山,https://maps.gsi.go.jp/#15/36.70027777777778/138.51583333333335,36°42′01″,138°30′57″,標高点,""
327,笠ヶ岳,"","",かさがたけ,長野県,2076,苗場山・白根山・浅間山,https://maps.gsi.go.jp/#15/36.67666666666666/138.4813888888889,36°40′36″,138°28′53″,笠ケ岳,""
328,横手山,"","",よこてやま,"群馬県, 長野県",2307,苗場山・白根山・浅間山,https://maps.gsi.go.jp/#15/36.66888888888889/138.52583333333334,36°40′08″,138°31′33″,標高点,""
329,白根山,"","",しらねさん,群馬県,2160,苗場山・白根山・浅間山,https://maps.gsi.go.jp/#15/36.64388888888889/138.5277777777778,36°38′38″,138°31′40″,標高点,草津白根山（くさつしらねさん）
330,本白根山,"","",もとしらねさん,群馬県,2171,苗場山・白根山・浅間山,https://maps.gsi.go.jp/#15/36.62277777777778/138.53194444444446,36°37′22″,138°31′55″,標高点,""
331,四阿山,"","",あずまやさん,"長野県, 群馬県",2354,苗場山・白根山・浅間山,https://maps.gsi.go.jp/#15/36.541666666666664/138.41305555555556,36°32′30″,138°24′47″,標高点,""
332,四阿山,"",根子岳,あずまやさん<ねこだけ>,長野県,2207,苗場山・白根山・浅間山,https://maps.gsi.go.jp/#15/36.549166666666665/138.39527777777778,36°32′57″,138°23′43″,標高点,""
333,湯ノ丸山,"","",ゆのまるやま,"長野県, 群馬県",2101,苗場山・白根山・浅間山,https://maps.gsi.go.jp/#15/36.43472222222222/138.4011111111111,36°26′05″,138°24′04″,標高点,""
334,篭ノ登山,"",東篭ノ登山,かごのとやま<ひがしかごのとやま>,"長野県, 群馬県",2228,苗場山・白根山・浅間山,https://maps.gsi.go.jp/#15/36.419444444444444/138.44722222222222,36°25′10″,138°26′50″,籠塔山,Ｈ26三角点標高改訂
335,浅間山,"","",あさまやま,"群馬県, 長野県",2568,苗場山・白根山・浅間山,https://maps.gsi.go.jp/#15/36.406666666666666/138.52305555555557,36°24′24″,138°31′23″,標高点,""
336,浅間隠山,"","",あさまかくしやま,群馬県,1757,苗場山・白根山・浅間山,https://maps.gsi.go.jp/#15/36.453611111111115/138.6525,36°27′13″,138°39′09″,浅間隠シ,""
337,鼻曲山,"","",はなまがりやま,群馬県,1655,苗場山・白根山・浅間山,https://maps.gsi.go.jp/#15/36.41083333333333/138.64555555555555,36°24′39″,138°38′44″,標高点,""
338,榛名山,"",掃部ヶ岳,はるなさん<かもんがたけ>,群馬県,1449,苗場山・白根山・浅間山,https://maps.gsi.go.jp/#15/36.4775/138.85083333333333,36°28′39″,138°51′03″,標高点,""
339,子持山,"","",こもちやま,群馬県,1296,苗場山・白根山・浅間山,https://maps.gsi.go.jp/#15/36.591944444444444/138.99777777777777,36°35′31″,138°59′52″,子持山,""
340,妙義山,"",相馬岳,みょうぎさん<そうまだけ>,群馬県,1104,関東山地,https://maps.gsi.go.jp/#15/36.29861111111111/138.74888888888887,36°17′55″,138°44′56″,相馬ケ岳,""
341,荒船山,"","",あらふねやま,"群馬県, 長野県",1423,関東山地,https://maps.gsi.go.jp/#15/36.20388888888889/138.63722222222222,36°12′14″,138°38′14″,荒船山,""
342,赤久縄山,"","",あかぐなやま,群馬県,1523,関東山地,https://maps.gsi.go.jp/#15/36.14361111111111/138.84333333333333,36°08′37″,138°50′36″,赤久縄,Ｈ26三角点標高改訂
343,御荷鉾山,"",西御荷鉾山,みかぼやま<にしみかぼやま>,群馬県,1287,関東山地,https://maps.gsi.go.jp/#15/36.15222222222222/138.91833333333332,36°09′08″,138°55′06″,西御荷鉾,Ｈ26三角点標高改訂
344,二子山,"","",ふたごやま,埼玉県,1166,関東山地,https://maps.gsi.go.jp/#15/36.069722222222225/138.8636111111111,36°04′11″,138°51′49″,二子山,""
345,両神山,"","",りょうかみさん,埼玉県,1723,関東山地,https://maps.gsi.go.jp/#15/36.02333333333333/138.8413888888889,36°01′24″,138°50′29″,両神山,""
346,御座山,"","",おぐらさん,長野県,2112,関東山地,https://maps.gsi.go.jp/#15/36.03388888888889/138.60666666666665,36°02′02″,138°36′24″,標高点,""
347,三宝山,"","",さんぽうやま,"埼玉県, 長野県",2483,関東山地,https://maps.gsi.go.jp/#15/35.9175/138.7277777777778,35°55′03″,138°43′40″,国師岳Ⅱ,""
348,甲武信ヶ岳,"","",こぶしがたけ,"埼玉県, 山梨県, 長野県",2475,関東山地,https://maps.gsi.go.jp/#15/35.90888888888889/138.7288888888889,35°54′32″,138°43′44″,標高点,""
349,横尾山,"","",よこおやま,"山梨県, 長野県",1818,関東山地,https://maps.gsi.go.jp/#15/35.91888888888889/138.5211111111111,35°55′08″,138°31′16″,横尾山,""
350,瑞牆山,"","",みずがきやま,山梨県,2230,関東山地,https://maps.gsi.go.jp/#15/35.89333333333333/138.59194444444447,35°53′36″,138°35′31″,標高点,""
351,金峰山,"","",きんぷさん,"山梨県, 長野県",2599,関東山地,https://maps.gsi.go.jp/#15/35.87138888888889/138.6252777777778,35°52′17″,138°37′31″,測定点,""
352,朝日岳,"","",あさひだけ,"山梨県, 長野県",2579,関東山地,https://maps.gsi.go.jp/#15/35.87444444444444/138.64249999999998,35°52′28″,138°38′33″,標高点,""
353,国師ヶ岳,"","",こくしがたけ,"山梨県, 長野県",2592,関東山地,https://maps.gsi.go.jp/#15/35.87083333333334/138.67305555555555,35°52′15″,138°40′23″,国師岳,""
354,北奥千丈岳,"","",きたおくせんじょうだけ,山梨県,2601,関東山地,https://maps.gsi.go.jp/#15/35.868611111111115/138.67083333333332,35°52′07″,138°40′15″,標高点,""
355,乾徳山,"","",けんとくさん,山梨県,2031,関東山地,https://maps.gsi.go.jp/#15/35.823055555555555/138.71499999999997,35°49′23″,138°42′54″,標高点,""
356,小楢山,"","",こならやま,山梨県,1713,関東山地,https://maps.gsi.go.jp/#15/35.781666666666666/138.66416666666666,35°46′54″,138°39′51″,中牧村,""
357,茅ヶ岳,"","",かやがたけ,山梨県,1704,関東山地,https://maps.gsi.go.jp/#15/35.794999999999995/138.51388888888889,35°47′42″,138°30′50″,茅ケ岳,""
358,堂平山,"","",どうだいらさん,埼玉県,876,関東山地,https://maps.gsi.go.jp/#15/36.005833333333335/139.19,36°00′21″,139°11′24″,堂平山,""
359,武甲山,"","",ぶこうさん,埼玉県,1304,関東山地,https://maps.gsi.go.jp/#15/35.95166666666667/139.0977777777778,35°57′06″,139°05′52″,測定点,Ｈ14現地計測による標高改訂
360,伊豆ヶ岳,"","",いずがたけ,埼玉県,851,関東山地,https://maps.gsi.go.jp/#15/35.926944444444445/139.16055555555556,35°55′37″,139°09′38″,伊豆岳,""
361,川乗山,"","",かわのりやま,東京都,1363,関東山地,https://maps.gsi.go.jp/#15/35.850833333333334/139.10694444444445,35°51′03″,139°06′25″,火打石,川苔山（かわのりやま）
362,酉谷山,"","",とりだにやま,"埼玉県, 東京都",1718,関東山地,https://maps.gsi.go.jp/#15/35.89722222222222/139.0102777777778,35°53′50″,139°00′37″,小川,黒ドッケ（くろどっけ）
363,雲取山,"","",くもとりやま,"埼玉県, 東京都",2017,関東山地,https://maps.gsi.go.jp/#15/35.855555555555554/138.9438888888889,35°51′20″,138°56′38″,雲取山,""
364,白石山,"","",はくせきさん,埼玉県,2036,関東山地,https://maps.gsi.go.jp/#15/35.89944444444444/138.87805555555556,35°53′58″,138°52′41″,白石,しろいしやま　和名倉山（わなぐらやま）
365,唐松尾山,"","",からまつおやま,"埼玉県, 山梨県",2109,関東山地,https://maps.gsi.go.jp/#15/35.867777777777775/138.8452777777778,35°52′04″,138°50′43″,唐松尾,""
366,大洞山,飛龍山,"",おおぼらやま（ひりゅうやま）,"埼玉県, 山梨県",2077,関東山地,https://maps.gsi.go.jp/#15/35.84/138.89222222222222,35°50′24″,138°53′32″,標高点,""
367,鶏冠山,黒川山,"",けいかんやま（くろかわやま）,山梨県,1716,関東山地,https://maps.gsi.go.jp/#15/35.78861111111111/138.83583333333334,35°47′19″,138°50′09″,標高点,黒川鶏冠山（くろかわけいかんざん）
368,大菩薩嶺,"","",だいぼさつれい,山梨県,2057,関東山地,https://maps.gsi.go.jp/#15/35.74888888888889/138.84555555555556,35°44′56″,138°50′44″,大菩薩,""
369,小金沢山,"","",こがねざわやま,山梨県,2014,関東山地,https://maps.gsi.go.jp/#15/35.716944444444444/138.85666666666665,35°43′01″,138°51′24″,雨沢,""
370,雁ケ腹摺山,"","",がんがはらすりやま,山梨県,1874,関東山地,https://maps.gsi.go.jp/#15/35.68694444444444/138.885,35°41′13″,138°53′06″,標高点,""
371,権現山,"","",ごんげんやま,山梨県,1312,関東山地,https://maps.gsi.go.jp/#15/35.66777777777777/139.0213888888889,35°40′04″,139°01′17″,棚頭山,""
372,権現山,"",扇山,ごんげんやま<おうぎやま>,山梨県,1138,関東山地,https://maps.gsi.go.jp/#15/35.63722222222222/139.01388888888889,35°38′14″,139°00′50″,標高点,""
373,三頭山,"","",みとうさん,東京都,1531,関東山地,https://maps.gsi.go.jp/#15/35.73916666666667/139.01388888888889,35°44′21″,139°00′50″,標高点,""
374,大岳山,"","",おおだけさん,東京都,1266,関東山地,https://maps.gsi.go.jp/#15/35.765277777777776/139.1302777777778,35°45′55″,139°07′49″,大岳,""
375,陣馬山,陣場山,"",じんばさん（じんばさん）,"東京都, 神奈川県",855,関東山地,https://maps.gsi.go.jp/#15/35.65222222222222/139.16666666666666,35°39′08″,139°10′00″,標高点,""
376,高尾山,"","",たかおさん,東京都,599,関東山地,https://maps.gsi.go.jp/#15/35.625277777777775/139.2436111111111,35°37′31″,139°14′37″,高尾山,""
377,清澄山,"",妙見山,きよすみやま<みょうけんやま>,千葉県,377,房総・三浦,https://maps.gsi.go.jp/#15/35.1625/140.15222222222224,35°09′45″,140°09′08″,標高点,""
378,鹿野山,"","",かのうざん,千葉県,379,房総・三浦,https://maps.gsi.go.jp/#15/35.25555555555555/139.97166666666666,35°15′20″,139°58′18″,測定点,標高は白鳥峰の標高を示す
379,鋸山,"","",のこぎりやま,千葉県,329,房総・三浦,https://maps.gsi.go.jp/#15/35.16027777777778/139.84083333333334,35°09′37″,139°50′27″,鋸山,""
380,富山,"","",とみさん,千葉県,349,房総・三浦,https://maps.gsi.go.jp/#15/35.098888888888894/139.8813888888889,35°05′56″,139°52′53″,富山,Ｈ26三角点標高改訂
381,伊予ヶ岳,"","",いよがたけ,千葉県,336,房総・三浦,https://maps.gsi.go.jp/#15/35.10722222222223/139.9138888888889,35°06′26″,139°54′50″,伊予岳,Ｈ23三角点改測
382,愛宕山,"","",あたごやま,千葉県,408,房総・三浦,https://maps.gsi.go.jp/#15/35.115/139.98694444444442,35°06′54″,139°59′13″,二ツ山,""
383,大山,"","",おおやま,千葉県,193,房総・三浦,https://maps.gsi.go.jp/#15/34.96416666666667/139.7777777777778,34°57′51″,139°46′40″,房大山,房ノ大山（ぼうのおおやま）　Ｈ26三角点標高改訂
384,大楠山,"","",おおぐすやま,神奈川県,241,房総・三浦,https://maps.gsi.go.jp/#15/35.25/139.62805555555556,35°15′00″,139°37′41″,大楠山,""
385,大山,"","",おおやま,神奈川県,1252,丹沢山地,https://maps.gsi.go.jp/#15/35.44083333333333/139.2313888888889,35°26′27″,139°13′53″,標高点,""
386,丹沢山,"",蛭ヶ岳,たんざわさん<ひるがたけ>,神奈川県,1673,丹沢山地,https://maps.gsi.go.jp/#15/35.48638888888889/139.13888888888889,35°29′11″,139°08′20″,標高点,たんざわやま
387,丹沢山,"","",たんざわさん,神奈川県,1567,丹沢山地,https://maps.gsi.go.jp/#15/35.47416666666667/139.1627777777778,35°28′27″,139°09′46″,丹沢山,""
388,丹沢山,"",塔ノ岳（塔ヶ岳）,たんざわさん<とうのだけ(とうがたけ)>,神奈川県,1491,丹沢山地,https://maps.gsi.go.jp/#15/35.45416666666667/139.16333333333333,35°27′15″,139°09′48″,塔ケ岳,""
389,大室山,"","",おおむろやま,"神奈川県, 山梨県",1587,丹沢山地,https://maps.gsi.go.jp/#15/35.51083333333333/139.0686111111111,35°30′39″,139°04′07″,大群山,おおむれやま　Ｈ26三角点標高改訂
390,御正体山,"","",みしょうたいやま,山梨県,1681,丹沢山地,https://maps.gsi.go.jp/#15/35.48694444444445/138.93166666666664,35°29′13″,138°55′54″,御正体山,Ｈ26三角点標高改訂
391,菰釣山,"","",こもつるしやま,"神奈川県, 山梨県",1379,丹沢山地,https://maps.gsi.go.jp/#15/35.46388888888889/138.97861111111112,35°27′50″,138°58′43″,標高点,""
392,三ッ峠山,"","",みつとうげやま,山梨県,1785,富士山とその周辺,https://maps.gsi.go.jp/#15/35.549166666666665/138.80916666666667,35°32′57″,138°48′33″,水峠,""
